,0
314,-333.8
315,-351.0
316,-284.6
317,-203.8
318,-364.20000000000005
319,-231.20000000000002
320,-234.0
321,-178.4
322,-117.4
323,-132.20000000000002
324,-166.4
325,-356.0
326,-138.8
327,-166.60000000000002
328,-120.2
329,-269.2
330,-139.20000000000002
331,-147.20000000000002
332,-132.6
333,-139.8
334,-247.60000000000002
335,-201.60000000000002
336,-249.60000000000002
337,-168.60000000000002
338,-277.2
339,-204.8
340,-202.8
341,-176.8
342,-98.4
343,-267.2
344,-186.20000000000002
345,-172.8
346,-191.4
347,-111.2
348,-98.2
349,-142.4
350,-130.4
351,-265.6
352,-149.4
353,-148.20000000000002
354,-197.4
355,-111.0
356,-81.4
357,-90.80000000000001
358,-200.0
359,-210.20000000000002
360,-103.0
361,-223.4
362,-190.8
363,-84.60000000000001
364,-194.60000000000002
365,-270.0
366,-136.6
367,-138.4
368,-106.2
369,-300.6
370,-150.0
371,-112.60000000000001
372,-133.6
373,-128.8
374,-239.8
375,-202.4
376,-168.20000000000002
377,-203.8
378,-151.0
379,-133.8
380,-112.0
381,-89.0
382,-164.4
383,-126.80000000000001
384,-297.0
385,-128.4
386,-146.20000000000002
387,-127.4
388,-133.8
389,-77.60000000000001
390,-146.6
391,-164.0
392,-180.60000000000002
393,-69.2
394,-192.0
395,-106.60000000000001
396,-124.4
397,-197.8
398,-143.0
399,-97.2
400,-158.0
401,-88.2
402,-160.20000000000002
403,-257.6
404,-148.6
405,-118.80000000000001
406,-92.80000000000001
407,-88.80000000000001
408,-66.2
409,-56.2
410,-183.60000000000002
411,-72.60000000000001
412,-165.4
413,-73.8
414,-87.0
415,-219.20000000000002
416,-115.80000000000001
417,-136.8
418,-92.2
419,-115.60000000000001
420,-118.60000000000001
421,-61.800000000000004
422,-52.2
423,-143.6
424,-67.8
425,-100.80000000000001
426,-111.60000000000001
427,-82.0
428,-106.0
429,-109.4
430,-215.8
431,-96.60000000000001
432,-76.0
433,-174.4
434,-120.2
435,-89.60000000000001
436,-147.0
437,-141.8
438,-47.800000000000004
439,-60.2
440,-178.20000000000002
441,-119.80000000000001
442,-122.0
443,-103.80000000000001
444,-183.8
445,-177.20000000000002
446,-71.4
447,-215.4
448,-109.0
449,-151.8
450,-107.4
451,-148.20000000000002
452,-241.0
453,-49.2
454,-95.60000000000001
455,-177.8
456,-76.2
457,-86.80000000000001
458,-85.0
459,-50.6
460,-88.4
461,-128.6
462,-72.60000000000001
463,-88.4
464,-145.6
465,-99.60000000000001
466,-70.8
467,-89.2
468,-51.400000000000006
469,-64.4
470,-59.0
471,-58.6
472,-78.4
473,-74.0
474,-121.60000000000001
475,-99.2
476,-100.0
477,-85.0
478,-69.8
479,-79.0
480,-52.800000000000004
481,-96.80000000000001
482,-103.2
483,-91.2
484,-33.800000000000004
485,-81.80000000000001
486,-105.0
487,-74.0
488,-58.800000000000004
489,-66.0
490,-52.800000000000004
491,-65.60000000000001
492,-89.80000000000001
493,-113.80000000000001
494,-89.4
495,-117.60000000000001
496,-56.0
497,-86.2
498,-98.2
499,-66.8
500,-36.0
501,-90.0
502,-82.4
503,-90.2
504,-68.2
505,-84.0
506,-112.80000000000001
507,-94.4
508,-15.200000000000001
509,-53.800000000000004
510,-54.400000000000006
511,-31.400000000000002
512,-78.0
513,-162.60000000000002
514,-51.0
515,-95.4
516,-83.80000000000001
517,-61.400000000000006
518,-72.2
519,-95.4
520,-82.0
521,-97.2
522,-57.400000000000006
523,-49.400000000000006
524,-50.400000000000006
525,-76.2
526,-60.800000000000004
527,-53.800000000000004
528,-39.2
529,-103.80000000000001
530,-83.0
531,-61.2
532,-36.6
533,-44.6
534,-55.2
535,-69.0
536,-38.2
537,-64.8
538,-75.8
539,-231.0
540,-54.0
541,-75.4
542,-75.2
543,-73.2
544,-58.2
545,-59.2
546,-86.80000000000001
547,-27.0
548,-87.0
549,-40.2
550,-87.2
551,-67.2
552,-87.2
553,-145.6
554,-44.2
555,-87.4
556,-53.6
557,-32.6
558,-45.2
559,-43.6
560,-55.0
561,-59.2
562,-38.800000000000004
563,-47.2
564,-98.4
565,-31.8
566,-109.2
567,-21.200000000000003
568,-102.60000000000001
569,-69.0
570,-50.400000000000006
571,-58.400000000000006
572,-79.4
573,-39.800000000000004
574,-48.0
575,-62.400000000000006
576,-25.0
577,-47.400000000000006
578,-25.200000000000003
579,-61.6
580,-29.0
581,-21.6
582,-31.200000000000003
583,-157.20000000000002
584,-45.2
585,-121.2
586,-46.2
587,-47.0
588,-73.0
589,-36.800000000000004
590,-16.0
591,-66.60000000000001
592,-85.0
593,-83.0
594,-76.0
595,-62.2
596,-35.0
597,-52.800000000000004
598,-55.0
599,-65.60000000000001
600,-46.2
601,-63.0
602,-59.0
603,-52.2
604,-45.6
605,-66.4
606,-56.6
607,-65.60000000000001
608,-44.400000000000006
609,-98.80000000000001
610,-35.0
611,-68.8
612,-82.60000000000001
613,-88.4
614,-87.4
615,-48.0
616,-74.60000000000001
617,-50.400000000000006
618,-33.6
619,-29.8
620,-97.2
621,-80.60000000000001
622,-47.6
623,-39.400000000000006
624,-118.80000000000001
625,-63.400000000000006
626,-45.0
627,-34.800000000000004
628,-28.6
629,-28.0
630,-120.2
631,-36.2
632,-53.2
633,-39.2
634,-62.6
635,-28.6
636,-40.400000000000006
637,-45.2
638,-59.400000000000006
639,-39.2
640,-77.4
641,-55.400000000000006
642,-34.4
643,-36.2
644,-44.0
645,-108.60000000000001
646,-44.2
647,-40.400000000000006
648,-28.200000000000003
649,-108.60000000000001
650,-66.2
651,-28.400000000000002
652,-47.800000000000004
653,-93.4
654,-45.800000000000004
655,-69.0
656,-48.0
657,-25.0
658,-50.2
