,0
0,-1795.0
1,-2004.0
2,-1824.8000000000002
3,-1860.0
4,-1996.8000000000002
5,-1845.6000000000001
6,-1649.6000000000001
7,-1674.8000000000002
8,-1818.6000000000001
9,-1594.0
10,-1924.8000000000002
11,-1613.0
12,-2029.2
13,-1607.2
14,-1408.0
15,-1697.2
16,-1875.4
17,-1522.4
18,-1385.6000000000001
19,-1984.2
20,-1973.4
21,-1732.2
22,-1753.8000000000002
23,-1562.6000000000001
24,-1605.8000000000002
25,-1847.4
26,-1234.2
27,-1642.2
28,-1608.0
29,-1619.0
30,-1344.4
31,-1514.4
32,-1657.6000000000001
33,-1274.6000000000001
34,-1159.4
35,-1180.2
36,-1186.8
37,-1647.6000000000001
38,-1105.0
39,-1200.0
40,-1246.4
41,-1278.6000000000001
42,-1338.0
43,-1298.4
44,-1222.6000000000001
45,-1363.2
46,-1381.2
47,-1161.6000000000001
48,-1278.6000000000001
49,-1330.8000000000002
50,-1227.6000000000001
51,-877.6
52,-1113.0
53,-1148.8
54,-1108.8
55,-701.6
56,-1123.8
57,-865.2
58,-866.6
59,-940.2
60,-999.2
61,-969.0
62,-1083.0
63,-587.4
64,-933.6
65,-742.6
66,-805.2
67,-954.6
68,-845.6
69,-772.8000000000001
70,-959.8000000000001
71,-976.2
72,-821.4000000000001
73,-717.4000000000001
74,-818.4000000000001
75,-845.4000000000001
76,-584.4
77,-699.8000000000001
78,-929.4000000000001
79,-685.4000000000001
80,-693.0
81,-821.4000000000001
82,-695.2
83,-676.6
84,-736.8000000000001
85,-652.4000000000001
86,-815.4000000000001
87,-967.2
88,-805.2
89,-898.2
90,-663.2
91,-494.8
92,-613.4
93,-778.8000000000001
94,-555.2
95,-765.0
96,-753.0
97,-821.2
98,-757.2
99,-970.8000000000001
100,-555.0
101,-850.4000000000001
102,-457.40000000000003
103,-848.2
104,-736.4000000000001
105,-718.6
106,-818.2
107,-611.4
108,-651.6
109,-409.40000000000003
110,-502.20000000000005
111,-634.2
112,-424.20000000000005
113,-812.6
114,-697.0
115,-747.0
116,-565.4
117,-641.2
118,-906.0
119,-717.0
120,-911.4000000000001
121,-614.6
122,-501.6
123,-649.0
124,-635.6
125,-523.4
126,-729.6
127,-743.2
128,-616.6
129,-670.2
130,-498.40000000000003
131,-585.2
132,-796.2
133,-642.6
134,-419.0
135,-754.8000000000001
136,-598.6
137,-447.40000000000003
138,-590.2
139,-762.0
140,-640.0
141,-508.6
142,-416.0
143,-720.6
144,-514.0
145,-771.0
146,-553.2
147,-682.4000000000001
148,-704.4000000000001
149,-682.8000000000001
150,-439.40000000000003
151,-521.4
152,-378.0
153,-515.4
154,-533.6
155,-553.6
156,-542.8000000000001
157,-421.8
158,-220.0
159,-578.8000000000001
160,-485.6
161,-481.20000000000005
162,-675.6
163,-524.0
164,-567.0
165,-314.8
166,-427.20000000000005
167,-444.6
168,-558.6
169,-551.4
170,-572.4
171,-650.4000000000001
172,-693.6
173,-450.20000000000005
174,-363.40000000000003
175,-544.6
176,-604.2
177,-555.0
178,-519.0
179,-590.2
180,-655.8000000000001
181,-391.0
182,-131.20000000000002
183,-343.20000000000005
184,-527.8000000000001
185,-372.20000000000005
186,-516.8000000000001
187,-513.2
188,-497.8
189,-538.8000000000001
190,-478.8
191,-367.6
192,-579.8000000000001
193,-533.0
194,-501.6
195,-538.8000000000001
196,-588.2
197,-533.2
198,-368.6
199,-445.20000000000005
200,-447.40000000000003
201,-400.40000000000003
202,-571.6
203,-104.0
204,-321.0
205,-195.4
206,-467.20000000000005
207,-553.2
208,-476.0
209,-457.8
210,-358.6
211,-378.6
212,-301.8
213,-484.6
214,-396.20000000000005
215,-333.20000000000005
216,-576.6
217,-455.20000000000005
218,-522.6
219,-381.20000000000005
220,-412.20000000000005
221,-232.0
222,-440.6
223,-369.0
224,-252.0
225,-307.40000000000003
226,-431.40000000000003
227,-313.0
228,-270.8
229,-481.0
230,-324.20000000000005
231,-520.8000000000001
232,-399.20000000000005
233,-356.20000000000005
234,-236.0
235,-491.0
236,-253.0
237,-598.2
238,-272.8
239,-569.4
240,-363.0
241,-189.0
242,-498.20000000000005
243,-377.40000000000003
244,-405.8
245,-308.0
246,-351.20000000000005
247,-502.6
248,-388.0
249,-460.6
250,-564.0
251,-501.40000000000003
252,-326.6
253,-152.0
254,-395.0
255,-455.40000000000003
256,-474.8
257,-365.8
258,-407.0
259,-476.0
260,-274.8
261,-346.8
