,0
313,-339.0
314,-184.20000000000002
315,-384.20000000000005
316,-328.20000000000005
317,-518.8000000000001
318,-513.0
319,-201.20000000000002
320,-357.20000000000005
321,-402.8
322,-144.20000000000002
323,-293.0
324,-501.20000000000005
325,-227.60000000000002
326,-330.40000000000003
327,-256.0
328,-325.40000000000003
329,-307.20000000000005
330,-200.8
331,-300.8
332,-209.8
333,-221.20000000000002
334,-241.0
335,-356.6
336,-261.8
337,-353.40000000000003
338,-355.8
339,-183.20000000000002
340,-321.20000000000005
341,-106.4
342,-124.4
343,-230.0
344,-199.8
345,-121.2
346,-269.2
347,-249.8
348,-305.40000000000003
349,-331.20000000000005
350,-156.4
351,-157.60000000000002
352,-130.0
353,-145.0
354,-424.8
355,-303.2
356,-315.8
357,-229.60000000000002
358,-349.40000000000003
359,-247.20000000000002
360,-245.8
361,-222.8
362,-198.8
363,-285.8
364,-139.0
365,-224.4
366,-152.20000000000002
367,-342.20000000000005
368,-170.4
369,-271.0
370,-361.6
371,-338.40000000000003
372,-297.0
373,-117.4
374,-131.6
375,-215.8
376,-68.2
377,-266.40000000000003
378,-214.8
379,-90.2
380,-232.20000000000002
381,-205.8
382,-288.6
383,-123.80000000000001
384,-313.6
385,-119.2
386,-131.0
387,-174.60000000000002
388,-155.0
389,-65.60000000000001
390,-190.4
391,-219.20000000000002
392,-283.2
393,-120.60000000000001
394,-164.60000000000002
395,-175.8
396,-131.0
397,-174.60000000000002
398,-276.40000000000003
399,-237.8
400,-316.20000000000005
401,-155.60000000000002
402,-278.6
403,-68.60000000000001
404,-185.20000000000002
405,-167.20000000000002
406,-175.8
407,-161.60000000000002
408,-250.8
409,-235.8
410,-96.80000000000001
411,-295.8
412,-182.0
413,-64.0
414,-194.0
415,-188.0
416,-196.20000000000002
417,-192.4
418,-239.20000000000002
419,-127.2
420,-286.0
421,-251.4
422,-47.6
423,-86.80000000000001
424,-268.6
425,-78.0
426,-141.6
427,-155.0
428,-104.4
429,-58.2
430,-264.0
431,-81.0
432,-84.2
433,-153.8
434,-154.8
435,-282.2
436,-117.2
437,-199.4
438,-162.0
439,-165.20000000000002
440,-188.4
441,-190.4
442,-269.8
443,-250.20000000000002
444,-108.0
445,-149.8
446,-193.0
447,-319.20000000000005
448,-41.400000000000006
449,-165.4
450,-77.4
451,-150.4
452,-204.60000000000002
453,-229.4
454,-191.4
455,-224.60000000000002
456,-190.60000000000002
457,-201.4
458,-92.4
459,-45.6
460,-64.60000000000001
461,-333.0
462,-243.4
463,-72.0
464,-72.0
465,-70.4
466,-107.4
467,-60.400000000000006
468,-173.4
469,-64.0
470,-103.60000000000001
471,-47.400000000000006
472,-62.6
473,-92.80000000000001
474,-190.8
475,-135.20000000000002
476,-141.6
477,-102.0
478,-250.8
479,-71.8
480,-164.0
481,-87.60000000000001
482,-252.4
483,-180.4
484,-109.80000000000001
485,-160.60000000000002
486,-87.80000000000001
487,-64.0
488,-156.0
489,-192.20000000000002
490,-67.8
491,-118.4
492,-312.40000000000003
493,-40.800000000000004
494,-130.0
495,-98.2
496,-190.8
497,-96.4
498,-89.60000000000001
499,-176.0
500,-257.0
501,-151.6
502,-111.0
503,-63.400000000000006
